policy,candle,fee_bps
PegCapture,60,23.86
PegCapture,61,23.75
PegCapture,64,42.27
PegCapture,68,21.97
PegCapture,69,23.28
PegCapture,70,55.98
PegCapture,71,40.67
PegCapture,75,28.49
PegCapture,76,52.99
PegCapture,77,28.15
PegCapture,79,18.57
PegCapture,80,21.59
PegCapture,82,40.76
PegCapture,83,19.3
PegCapture,87,63.24
PegCapture,88,49.0
PegCapture,89,77.36
PegCapture,90,56.04
PegCapture,92,20.88
PegCapture,94,75.66
PegCapture,95,29.22
PegCapture,97,55.07
PegCapture,98,38.24
PegCapture,99,33.11
PegCapture,101,39.02
PegCapture,103,17.73
PegCapture,105,30.71
PegCapture,108,42.49
PegCapture,109,24.61
PegCapture,110,25.08
PegCapture,113,23.53
PegCapture,115,30.61
PegCapture,116,40.04
PegCapture,117,24.4
PegCapture,118,24.4
PegCapture,120,37.24
PegCapture,121,22.59
PegCapture,123,47.33
PegCapture,126,62.13
PegCapture,127,30.96
PegCapture,128,19.41
PegCapture,129,29.81
PegCapture,130,31.37
PegCapture,139,30.33
PegCapture,141,26.74
PegCapture,142,24.19
PegCapture,144,40.74
PegCapture,145,28.16
PegCapture,146,21.88
PegCapture,149,31.48
PegCapture,150,51.27
PegCapture,152,27.27
PegCapture,153,41.72
PegCapture,154,38.81
PegCapture,162,20.02
PegCapture,163,52.39
PegCapture,166,35.21
PegCapture,167,74.13
PegCapture,168,61.41
PegCapture,169,43.07
PegCapture,170,73.33
PegCapture,171,83.72
PegCapture,172,44.62
PegCapture,173,24.26
PegCapture,175,34.48
PegCapture,180,67.43
PegCapture,181,46.87
PegCapture,184,38.12
PegCapture,185,26.1
PegCapture,191,37.2
PegCapture,192,20.53
PegCapture,195,48.15
PegCapture,196,44.81
PegCapture,197,52.63
PegCapture,198,23.92
PegCapture,199,21.36
PegCapture,202,35.67
PegCapture,203,39.56
PegCapture,205,34.87
PegCapture,208,23.08
PegCapture,210,22.07
PegCapture,211,23.01
PegCapture,212,26.64
PegCapture,216,35.04
PegCapture,217,34.37
PegCapture,218,29.24
PegCapture,220,18.77
PegCapture,222,23.23
PegCapture,224,17.8
PegCapture,225,27.36
PegCapture,226,21.55
PegCapture,234,35.29
PegCapture,235,22.1
PegCapture,238,27.32
PegCapture,239,29.38
PegCapture,242,30.35
PegCapture,244,74.28
PegCapture,246,35.55
